
4807203	805	1797	843	606	234	600	228	611	248	282	761	81	
151404	794	1811	844	598	243	583	224	617	244	387	
108261	801	1790	829	599	225	593	209	610	240	268	
112598	802	1809	835	593	241	603	238	620	244	312	
106052	806	1819	848	594	242	601	237	625	231	345	
119691	776	1827	863	581	236	444	226	620	242	336	
108499	809	1808	842	613	254	596	231	620	258	238	
120275	396	898	419	297	119	307	121	307	119	302	252	280	107	289	102	296	105	
69400	804	1714	817	576	234	592	227	584	230	288	
79808	773	1800	830	562	241	611	240	627	259	332	
1241267	802	1763	808	591	244	597	235	599	246	243	
143621	810	1821	848	576	234	606	241	568	228	297	
114557	386	887	419	301	117	296	109	298	122	257	245	227	
120103	795	1796	856	599	237	593	254	613	262	307	
72455	814	1797	859	592	225	553	244	624	242	328	
64485	791	1797	827	590	243	596	219	595	238	284	
55594	843	1801	846	600	262	593	250	537	
75960	828	1831	815	598	252	614	241	612	253	435	
136737	811	1811	840	585	239	616	233	603	230	279	
87372	814	1764	825	601	259	579	239	618	250	303	
915511	823	1828	848	616	260	599	239	629	257	338	
78751	822	1819	853	592	221	551	248	615	255	266	
74502	808	1719	803	588	241	578	231	603	247	319	
460743	820	1815	836	622	257	608	237	613	251	293	
72725	783	1777	817	591	250	595	243	603	250	325	
63692	755	1759	817	591	209	588	238	546	223	319	
90666	834	1785	833	612	264	585	235	629	262	317	802	178	
60474	804	1826	855	610	242	604	242	625	240	344	
70087	804	1790	831	597	249	585	255	608	242	319	827	204	
1397788	824	1834	839	611	253	601	241	615	251	326	
