,,,,,,,,,
812,1755,792,574,242,573,225,594,235,271
796,1804,851,590,254,595,242,608,256,348
808,1795,829,585,235,535,242,579,235,282
799,1750,813,590,249,576,238,600,238,318
809,1776,820,600,241,591,236,614,244,314
788,1814,845,599,243,611,233,622,248,325
806,1809,831,600,249,611,236,618,248,331
739,1748,809,575,233,575,222,599,236,320
802,1781,829,596,246,599,238,477,236,471
701,1716,815,583,247,180,147,592,257,229
820,1826,863,618,251,610,246,607,121,462
821,1682,828,581,242,624,232,633,259,286
794,1770,799,575,238,600,231,599,246,343
828,1830,847,616,252,601,235,617,254,296
813,1794,833,577,249,600,250,612,257,287
824,1833,858,605,244,613,247,628,245,371
789,1798,809,589,244,603,236,618,243,306
830,1805,873,583,248,624,276,600,248,295
801,1802,853,594,247,590,226,583,229,327
757,1710,856,597,259,589,237,604,249,347
825,1802,834,608,241,585,238,610,251,351
774,1761,822,575,225,599,228,602,244,300
799,1809,833,599,236,615,241,614,237,567
777,1804,841,611,217,193,171,604,75,254
394,883,410,300,98,455,241,599,223,336
