805,1797,843,606,234,600,228,611,248,282
794,1811,844,598,243,583,224,617,244,387
801,1790,829,599,225,593,209,610,240,268
802,1809,835,593,241,603,238,620,244,312
806,1819,848,594,242,601,237,625,231,345
776,1827,863,581,236,444,226,620,242,336
809,1808,842,613,254,596,231,620,258,238
396,898,419,297,119,307,121,307,119,302
804,1714,817,576,234,592,227,584,230,288
773,1800,830,562,241,611,240,627,259,332
802,1763,808,591,244,597,235,599,246,243
810,1821,848,576,234,606,241,568,228,297
386,887,419,301,117,296,109,298,122,257
795,1796,856,599,237,593,254,613,262,307
814,1797,859,592,225,553,244,624,242,328
791,1797,827,590,243,596,219,595,238,284
828,1831,815,598,252,614,241,612,253,435
811,1811,840,585,239,616,233,603,230,279
814,1764,825,601,259,579,239,618,250,303
823,1828,848,616,260,599,239,629,257,338
822,1819,853,592,221,551,248,615,255,266
808,1719,803,588,241,578,231,603,247,319
820,1815,836,622,257,608,237,613,251,293
783,1777,817,591,250,595,243,603,250,325
755,1759,817,591,209,588,238,546,223,319
834,1785,833,612,264,585,235,629,262,317
804,1826,855,610,242,604,242,625,240,344
804,1790,831,597,249,585,255,608,242,319
824,1834,839,611,253,601,241,615,251,326
